queries_sent,budget_frac,cum_errors_covered,frac_errors_covered
1,0.002008032128514056,1,0.0037593984962406013
2,0.004016064257028112,2,0.007518796992481203
3,0.006024096385542169,3,0.011278195488721804
4,0.008032128514056224,4,0.015037593984962405
5,0.010040160642570281,5,0.018796992481203006
6,0.012048192771084338,6,0.022556390977443608
7,0.014056224899598393,7,0.02631578947368421
8,0.01606425702811245,8,0.03007518796992481
9,0.018072289156626505,9,0.03383458646616541
10,0.020080321285140562,10,0.03759398496240601
11,0.02208835341365462,11,0.041353383458646614
12,0.024096385542168676,12,0.045112781954887216
13,0.02610441767068273,13,0.04887218045112782
14,0.028112449799196786,14,0.05263157894736842
15,0.030120481927710843,15,0.05639097744360902
16,0.0321285140562249,16,0.06015037593984962
17,0.03413654618473896,17,0.06390977443609022
18,0.03614457831325301,18,0.06766917293233082
19,0.03815261044176707,19,0.07142857142857142
20,0.040160642570281124,20,0.07518796992481203
21,0.04216867469879518,21,0.07894736842105263
22,0.04417670682730924,22,0.08270676691729323
23,0.04618473895582329,23,0.08646616541353383
24,0.04819277108433735,24,0.09022556390977443
25,0.050200803212851405,25,0.09398496240601503
26,0.05220883534136546,26,0.09774436090225563
27,0.05421686746987952,27,0.10150375939849623
28,0.05622489959839357,28,0.10526315789473684
29,0.05823293172690763,28,0.10526315789473684
30,0.060240963855421686,29,0.10902255639097744
31,0.06224899598393574,29,0.10902255639097744
32,0.0642570281124498,30,0.11278195488721804
33,0.06626506024096386,31,0.11654135338345864
34,0.06827309236947791,32,0.12030075187969924
35,0.07028112449799197,33,0.12406015037593984
36,0.07228915662650602,34,0.12781954887218044
37,0.07429718875502007,34,0.12781954887218044
38,0.07630522088353414,34,0.12781954887218044
39,0.0783132530120482,35,0.13157894736842105
40,0.08032128514056225,36,0.13533834586466165
41,0.0823293172690763,37,0.13909774436090225
42,0.08433734939759036,38,0.14285714285714285
43,0.08634538152610442,39,0.14661654135338345
44,0.08835341365461848,39,0.14661654135338345
45,0.09036144578313253,39,0.14661654135338345
46,0.09236947791164658,40,0.15037593984962405
47,0.09437751004016064,41,0.15413533834586465
48,0.0963855421686747,42,0.15789473684210525
49,0.09839357429718876,42,0.15789473684210525
50,0.10040160642570281,43,0.16165413533834586
51,0.10240963855421686,43,0.16165413533834586
52,0.10441767068273092,43,0.16165413533834586
53,0.10642570281124498,43,0.16165413533834586
54,0.10843373493975904,44,0.16541353383458646
55,0.11044176706827309,45,0.16917293233082706
56,0.11244979919678715,45,0.16917293233082706
57,0.1144578313253012,46,0.17293233082706766
58,0.11646586345381527,47,0.17669172932330826
59,0.11847389558232932,48,0.18045112781954886
60,0.12048192771084337,48,0.18045112781954886
61,0.12248995983935743,49,0.18421052631578946
62,0.12449799196787148,50,0.18796992481203006
63,0.12650602409638553,50,0.18796992481203006
64,0.1285140562248996,51,0.19172932330827067
65,0.13052208835341367,52,0.19548872180451127
66,0.13253012048192772,53,0.19924812030075187
67,0.13453815261044177,54,0.20300751879699247
68,0.13654618473895583,55,0.20676691729323307
69,0.13855421686746988,55,0.20676691729323307
70,0.14056224899598393,56,0.21052631578947367
71,0.142570281124498,57,0.21428571428571427
72,0.14457831325301204,58,0.21804511278195488
73,0.1465863453815261,59,0.22180451127819548
74,0.14859437751004015,60,0.22556390977443608
75,0.15060240963855423,61,0.22932330827067668
76,0.15261044176706828,61,0.22932330827067668
77,0.15461847389558234,62,0.23308270676691728
78,0.1566265060240964,62,0.23308270676691728
79,0.15863453815261044,63,0.23684210526315788
80,0.1606425702811245,63,0.23684210526315788
81,0.16265060240963855,64,0.24060150375939848
82,0.1646586345381526,65,0.24436090225563908
83,0.16666666666666666,66,0.24812030075187969
84,0.1686746987951807,67,0.2518796992481203
85,0.1706827309236948,68,0.2556390977443609
86,0.17269076305220885,69,0.2593984962406015
87,0.1746987951807229,70,0.2631578947368421
88,0.17670682730923695,71,0.2669172932330827
89,0.178714859437751,72,0.2706766917293233
90,0.18072289156626506,72,0.2706766917293233
91,0.1827309236947791,72,0.2706766917293233
92,0.18473895582329317,73,0.2744360902255639
93,0.18674698795180722,74,0.2781954887218045
94,0.18875502008032127,74,0.2781954887218045
95,0.19076305220883535,75,0.2819548872180451
96,0.1927710843373494,76,0.2857142857142857
97,0.19477911646586346,76,0.2857142857142857
98,0.19678714859437751,77,0.2894736842105263
99,0.19879518072289157,78,0.2932330827067669
100,0.20080321285140562,78,0.2932330827067669
101,0.20281124497991967,79,0.29699248120300753
102,0.20481927710843373,80,0.3007518796992481
103,0.20682730923694778,80,0.3007518796992481
104,0.20883534136546184,81,0.30451127819548873
105,0.21084337349397592,82,0.3082706766917293
106,0.21285140562248997,83,0.31203007518796994
107,0.21485943775100402,84,0.3157894736842105
108,0.21686746987951808,85,0.31954887218045114
109,0.21887550200803213,86,0.3233082706766917
110,0.22088353413654618,86,0.3233082706766917
111,0.22289156626506024,87,0.32706766917293234
112,0.2248995983935743,88,0.3308270676691729
113,0.22690763052208834,89,0.33458646616541354
114,0.2289156626506024,90,0.3383458646616541
115,0.23092369477911648,91,0.34210526315789475
116,0.23293172690763053,92,0.3458646616541353
117,0.23493975903614459,93,0.34962406015037595
118,0.23694779116465864,94,0.3533834586466165
119,0.2389558232931727,95,0.35714285714285715
120,0.24096385542168675,96,0.3609022556390977
121,0.2429718875502008,97,0.36466165413533835
122,0.24497991967871485,98,0.3684210526315789
123,0.2469879518072289,99,0.37218045112781956
124,0.24899598393574296,100,0.37593984962406013
125,0.25100401606425704,101,0.37969924812030076
126,0.25301204819277107,102,0.38345864661654133
127,0.25502008032128515,103,0.38721804511278196
128,0.2570281124497992,104,0.39097744360902253
129,0.25903614457831325,104,0.39097744360902253
130,0.26104417670682734,105,0.39473684210526316
131,0.26305220883534136,106,0.39849624060150374
132,0.26506024096385544,107,0.40225563909774437
133,0.26706827309236947,108,0.40601503759398494
134,0.26907630522088355,109,0.40977443609022557
135,0.2710843373493976,110,0.41353383458646614
136,0.27309236947791166,111,0.41729323308270677
137,0.2751004016064257,112,0.42105263157894735
138,0.27710843373493976,113,0.424812030075188
139,0.2791164658634538,114,0.42857142857142855
140,0.28112449799196787,114,0.42857142857142855
141,0.28313253012048195,115,0.4323308270676692
142,0.285140562248996,116,0.43609022556390975
143,0.28714859437751006,117,0.4398496240601504
144,0.2891566265060241,118,0.44360902255639095
145,0.29116465863453816,118,0.44360902255639095
146,0.2931726907630522,118,0.44360902255639095
147,0.29518072289156627,119,0.4473684210526316
148,0.2971887550200803,119,0.4473684210526316
149,0.2991967871485944,119,0.4473684210526316
150,0.30120481927710846,119,0.4473684210526316
151,0.3032128514056225,120,0.45112781954887216
152,0.30522088353413657,121,0.4548872180451128
153,0.3072289156626506,122,0.45864661654135336
154,0.3092369477911647,123,0.462406015037594
155,0.3112449799196787,124,0.46616541353383456
156,0.3132530120481928,125,0.4699248120300752
157,0.3152610441767068,126,0.47368421052631576
158,0.3172690763052209,127,0.4774436090225564
159,0.3192771084337349,127,0.4774436090225564
160,0.321285140562249,127,0.4774436090225564
161,0.3232931726907631,128,0.48120300751879697
162,0.3253012048192771,129,0.4849624060150376
163,0.3273092369477912,130,0.48872180451127817
164,0.3293172690763052,131,0.4924812030075188
165,0.3313253012048193,132,0.49624060150375937
166,0.3333333333333333,133,0.5
167,0.3353413654618474,133,0.5
168,0.3373493975903614,134,0.5037593984962406
169,0.3393574297188755,134,0.5037593984962406
170,0.3413654618473896,134,0.5037593984962406
171,0.3433734939759036,135,0.5075187969924813
172,0.3453815261044177,136,0.5112781954887218
173,0.3473895582329317,136,0.5112781954887218
174,0.3493975903614458,137,0.5150375939849624
175,0.3514056224899598,138,0.518796992481203
176,0.3534136546184739,139,0.5225563909774437
177,0.35542168674698793,140,0.5263157894736842
178,0.357429718875502,141,0.5300751879699248
179,0.35943775100401604,142,0.5338345864661654
180,0.3614457831325301,143,0.5375939849624061
181,0.3634538152610442,144,0.5413533834586466
182,0.3654618473895582,145,0.5451127819548872
183,0.3674698795180723,146,0.5488721804511278
184,0.36947791164658633,147,0.5526315789473685
185,0.3714859437751004,148,0.556390977443609
186,0.37349397590361444,148,0.556390977443609
187,0.3755020080321285,148,0.556390977443609
188,0.37751004016064255,149,0.5601503759398496
189,0.3795180722891566,150,0.5639097744360902
190,0.3815261044176707,151,0.5676691729323309
191,0.38353413654618473,151,0.5676691729323309
192,0.3855421686746988,151,0.5676691729323309
193,0.38755020080321284,151,0.5676691729323309
194,0.3895582329317269,152,0.5714285714285714
195,0.39156626506024095,153,0.575187969924812
196,0.39357429718875503,154,0.5789473684210527
197,0.39558232931726905,155,0.5827067669172933
198,0.39759036144578314,156,0.5864661654135338
199,0.39959839357429716,156,0.5864661654135338
200,0.40160642570281124,156,0.5864661654135338
201,0.4036144578313253,157,0.5902255639097744
202,0.40562248995983935,157,0.5902255639097744
203,0.40763052208835343,158,0.5939849624060151
204,0.40963855421686746,159,0.5977443609022557
205,0.41164658634538154,159,0.5977443609022557
206,0.41365461847389556,160,0.6015037593984962
207,0.41566265060240964,161,0.6052631578947368
208,0.41767068273092367,162,0.6090225563909775
209,0.41967871485943775,163,0.6127819548872181
210,0.42168674698795183,163,0.6127819548872181
211,0.42369477911646586,163,0.6127819548872181
212,0.42570281124497994,164,0.6165413533834586
